Q8NF67	PF14915;
Q9NPB9	PF00001;
P31937	PF14833;PF03446;
P61981	PF00244;
O94805	PF00022;
P00325	PF08240;PF00107;
Q8WXA8	PF02931;PF02932;
P29274	PF00001;
P52594	PF01412;
Q9H0C2	PF00153;
Q9UKV8	PF08699;PF16488;PF16487;PF16486;PF02170;PF02171;
Q8NFM4	PF16214;PF06327;PF00211;
Q9BVK2	PF03155;
Q3KRA9	PF13532;
Q8IZF5	PF00002;PF01825;PF02793;
O43572	PF00615;
Q8N8V4	PF12796;PF00536;
Q8NHP1	PF00248;
Q12955	PF00023;PF12796;PF13606;PF00531;PF17809;PF00791;
Q9HCJ1	PF07260;
Q9NZN5	PF17820;PF17838;PF09128;PF00621;
Q96LA8	PF13649;
A6QL64	PF12796;PF14915;
Q92484	PF00149;
A6NK59	PF12796;PF07525;
P05026	PF00287;
Q5T1B0	PF10211;
P51451	PF07714;PF00017;PF00018;
Q6UWJ8	PF05283;
Q02338	PF00106;
O60885	PF17035;PF17105;PF00439;
Q4VC31	PF09774;
O00175	PF00048;
A8MZ97	PF15484;
P06307	PF00918;
P05814	PF00363;
P43155	PF00755;
Q9BV19	PF10504;
P52907	PF01267;
Q9H4Z3	PF12237;PF00397;
Q9BUN5	PF13270;
Q9H8G2	PF15335;
Q6UWT4	PF15144;
Q96Q40	PF00069;
Q5TDH0	PF09668;PF00240;
O94830	PF02862;PF00536;PF02825;
Q8NA75	PF00400;
Q8IU60	PF05026;PF00293;
Q8N688	PF13841;
Q01523	PF00323;PF00879;
Q5JSL3	PF06920;PF14429;PF11878;PF00169;
Q14129	PF07324;
Q86YN1	PF01569;
Q96FX2	PF05207;
Q0P6D2	PF12260;PF14875;
O60941	PF09068;PF09069;PF00569;
Q7Z5J1	PF00106;
P43005	PF00375;
Q5THR3	PF08976;PF13499;
P60507	PF00429;
Q8NEJ0	PF00782;
Q9BQI3	PF00069;
Q99956	PF00782;PF00581;
P05305	PF00322;
Q5JU00	PF13516;
O60869	PF01381;PF08523;
Q9NQ11	PF12409;
Q502W7	PF13863;
A2IDD5	PF14739;
Q00975	PF08763;PF16905;PF00520;
Q00537	PF00069;
Q8TAL5	PF15504;
Q86X52	PF05679;
P86791	PF08217;
Q7Z4T9	PF14738;
Q96KN2	PF07687;PF01546;
Q15417	PF00402;PF00307;
Q9P232	PF00041;PF07679;
P01031	PF00207;PF07703;PF07677;PF01821;PF17790;PF01835;PF17791;PF17789;PF01759;PF07678;
P51795	PF00571;PF00654;
P35523	PF00654;
Q99715	PF01391;PF00041;PF00092;
Q03060	PF00170;PF02173;
Q9UKF6	PF10996;PF11718;PF00753;PF07521;
Q96BA8	PF00170;
Q9H114	PF00031;
O15528	PF00067;
Q9NQ92	PF15340;
P22680	PF00067;
Q99829	PF00168;PF07002;
Q5TCH4	PF00067;
Q05D32	PF03031;
Q9NQC7	PF01302;PF00443;
P28325	PF00031;
Q5M775	PF00307;
P17302	PF00029;PF03508;
P78310	PF00047;PF07686;
P19876	PF00048;
Q53GD3	PF04515;
P0CG13	PF09696;
P56545	PF00389;PF02826;
O43246	PF13520;PF13906;
Q96HY6	PF09756;
A6NGE4	PF00400;
P0C7V8	PF00400;
A8MYV0	PF03607;
Q6PH85	PF03556;
P04440	PF07654;PF00969;
Q14185	PF06920;PF14429;PF16172;PF14604;
Q15392	PF01565;
O60231	PF00270;PF04408;PF00271;PF07717;
O76075	PF02017;PF09230;
Q9NYJ7	PF00008;PF12661;
P30046	PF01187;
P23743	PF00130;PF14513;PF00609;PF00781;
Q14565	PF08423;
Q9BQC3	PF01866;
Q9UFH2	PF12774;PF12780;PF12781;PF17857;PF18198;PF08385;PF08393;PF17852;PF18199;PF03028;PF12777;
Q6ZTU2	PF15790;
Q9HCM4	PF08736;PF09380;PF00373;PF09379;
Q9C0G6	PF12774;PF12780;PF12781;PF17857;PF18198;PF08393;PF17852;PF18199;PF03028;PF12777;
Q9HCS5	PF08736;PF09380;PF00373;PF09379;
Q9Y2E6	PF18102;PF02825;PF00097;
Q92630	PF00069;
P0DPD8	PF13649;PF01431;PF05649;
Q6V1X1	PF00930;PF00326;
A2CJ06	PF09068;PF09069;PF00569;
Q16643	PF00241;
O00716	PF16421;PF02319;
Q15329	PF16421;PF02319;
P79483	PF07654;PF00969;
